Date,Pays,Filiäre,Valeur (Mt),;
"2016-01,""Autriche"",""Autre"",0,1399464";
"2016-02,""Autriche"",""Autre"",0,1309176";
"2016-03,""Autriche"",""Autre"",0,1399464";
"2016-04,""Autriche"",""Autre"",0,135432";
"2016-05,""Autriche"",""Autre"",0,1399464";
"2016-06,""Autriche"",""Autre"",0,135432";
"2016-07,""Autriche"",""Autre"",0,1399464";
"2016-08,""Autriche"",""Autre"",0,1399464";
"2016-09,""Autriche"",""Autre"",0,135432";
"2016-10,""Autriche"",""Autre"",0,1399464";
"2016-11,""Autriche"",""Autre"",0,135432";
"2016-12,""Autriche"",""Autre"",0,1399464";
"2017-01,""Autriche"",""Autre"",0,1399464";
"2017-02,""Autriche"",""Autre"",0,1264032";
"2017-03,""Autriche"",""Autre"",0,1399464";
"2017-04,""Autriche"",""Autre"",0,135432";
"2017-05,""Autriche"",""Autre"",0,1399464";
"2017-06,""Autriche"",""Autre"",0,135432";
"2017-07,""Autriche"",""Autre"",0,1399464";
"2017-08,""Autriche"",""Autre"",0,1399464";
"2017-09,""Autriche"",""Autre"",0,135432";
"2017-10,""Autriche"",""Autre"",0,1399464";
"2017-11,""Autriche"",""Autre"",0,135432";
"2017-12,""Autriche"",""Autre"",0,1399464";
"2018-01,""Autriche"",""Autre"",0,1399464";
"2018-02,""Autriche"",""Autre"",0,1264032";
"2018-03,""Autriche"",""Autre"",0,1399464";
"2018-04,""Autriche"",""Autre"",0,135432";
"2018-05,""Autriche"",""Autre"",0,1399464";
"2018-06,""Autriche"",""Autre"",0,135432";
"2018-07,""Autriche"",""Autre"",0,1399464";
"2018-08,""Autriche"",""Autre"",0,1399464";
"2018-09,""Autriche"",""Autre"",0,135432";
"2018-10,""Autriche"",""Autre"",0,1399464";
"2018-11,""Autriche"",""Autre"",0,135432";
"2018-12,""Autriche"",""Autre"",0,1399464";
"2019-01,""Autriche"",""Autre"",0,1399464";
"2019-02,""Autriche"",""Autre"",0,1264032";
"2019-03,""Autriche"",""Autre"",0,1399464";
"2019-04,""Autriche"",""Autre"",0,135432";
"2019-05,""Autriche"",""Autre"",0,1399464";
"2019-06,""Autriche"",""Autre"",0,135432";
"2019-07,""Autriche"",""Autre"",0,1399464";
"2019-08,""Autriche"",""Autre"",0,1399464";
"2019-09,""Autriche"",""Autre"",0,135432";
"2019-10,""Autriche"",""Autre"",0,1399464";
"2019-11,""Autriche"",""Autre"",0,135432";
"2019-12,""Autriche"",""Autre"",0,1399464";
"2020-01,""Autriche"",""Autre"",0,1399464";
"2020-02,""Autriche"",""Autre"",0,1309176";
"2020-03,""Autriche"",""Autre"",0,1399464";
"2020-04,""Autriche"",""Autre"",0,135432";
