Date;Pays;Filière;Valeur (TWh)
2016-01;Autriche;Consommation brute;5,908889296
2016-02;Autriche;Consommation brute;5,427889499
2016-03;Autriche;Consommation brute;5,616475198
2016-04;Autriche;Consommation brute;4,9392806
2016-05;Autriche;Consommation brute;4,806537099
2016-06;Autriche;Consommation brute;4,792151604
2016-07;Autriche;Consommation brute;4,822014198
2016-08;Autriche;Consommation brute;4,765142003
2016-09;Autriche;Consommation brute;4,883213899
2016-10;Autriche;Consommation brute;5,284776198
2016-11;Autriche;Consommation brute;5,658901196
2016-12;Autriche;Consommation brute;5,8716689
2017-01;Autriche;Consommation brute;6,343694401
2017-02;Autriche;Consommation brute;5,462073898
2017-03;Autriche;Consommation brute;5,531316399
2017-04;Autriche;Consommation brute;4,957801095
2017-05;Autriche;Consommation brute;4,895788102
2017-06;Autriche;Consommation brute;4,777961602
2017-07;Autriche;Consommation brute;4,888227799
2017-08;Autriche;Consommation brute;4,8531899
2017-09;Autriche;Consommation brute;4,986552502
2017-10;Autriche;Consommation brute;5,228418598
2017-11;Autriche;Consommation brute;5,717949297
2017-12;Autriche;Consommation brute;5,911465299
2018-01;Autriche;Consommation brute;5,960762497
2018-02;Autriche;Consommation brute;5,625507101
2018-03;Autriche;Consommation brute;5,981082299
2018-04;Autriche;Consommation brute;4,845516299
2018-05;Autriche;Consommation brute;4,8511785
2018-06;Autriche;Consommation brute;4,878511701
2018-07;Autriche;Consommation brute;4,786051504
2018-08;Autriche;Consommation brute;5,003410399
2018-09;Autriche;Consommation brute;4,945263704
2018-10;Autriche;Consommation brute;5,317715701
2018-11;Autriche;Consommation brute;5,582003802
2018-12;Autriche;Consommation brute;5,871341602
2019-01;Autriche;Consommation brute;6,216600297
2019-02;Autriche;Consommation brute;5,414046598
2019-03;Autriche;Consommation brute;5,587705799
2019-04;Autriche;Consommation brute;4,8782566
2019-05;Autriche;Consommation brute;5,109958496
2019-06;Autriche;Consommation brute;4,742007397
2019-07;Autriche;Consommation brute;4,966293
2019-08;Autriche;Consommation brute;4,845929697
2019-09;Autriche;Consommation brute;4,844190897
2019-10;Autriche;Consommation brute;5,254283499
2019-11;Autriche;Consommation brute;5,460883802
2019-12;Autriche;Consommation brute;5,765072401
2020-01;Autriche;Consommation brute;5,981477901
2020-02;Autriche;Consommation brute;5,448907301
2020-03;Autriche;Consommation brute;5,317249801
2020-04;Autriche;Consommation brute;4,345476601
2020-05;Autriche;Consommation brute;4,5357614
2020-06;Autriche;Consommation brute;4,507328999
2020-07;Autriche;Consommation brute;4,796806701
2020-08;Autriche;Consommation brute;4,7474781
2020-09;Autriche;Consommation brute;4,855064297
2020-10;Autriche;Consommation brute;5,333864802
2020-11;Autriche;Consommation brute;5,460953099
2020-12;Autriche;Consommation brute;5,727634704
2021-01;Autriche;Consommation brute;5,803579799
2021-02;Autriche;Consommation brute;5,206238201
2021-03;Autriche;Consommation brute;5,602612997
2021-04;Autriche;Consommation brute;5,042683798
2021-05;Autriche;Consommation brute;4,912325599
2021-06;Autriche;Consommation brute;4,855780799
2021-07;Autriche;Consommation brute;5,012174496
2021-08;Autriche;Consommation brute;5,018636201
2021-09;Autriche;Consommation brute;4,878293804
2021-10;Autriche;Consommation brute;5,2701967
2021-11;Autriche;Consommation brute;5,383564798
2021-12;Autriche;Consommation brute;5,951084605
2022-01;Autriche;Consommation brute;5,742110902
2022-02;Autriche;Consommation brute;5,377398302
2022-03;Autriche;Consommation brute;5,648891603
2022-04;Autriche;Consommation brute;5,176249602
2022-05;Autriche;Consommation brute;4,857546899
2022-06;Autriche;Consommation brute;4,690257801
2022-07;Autriche;Consommation brute;4,785235702
2022-08;Autriche;Consommation brute;4,7096438
2022-09;Autriche;Consommation brute;4,770337804
2022-10;Autriche;Consommation brute;4,865039603
2022-11;Autriche;Consommation brute;5,238576503
2022-12;Autriche;Consommation brute;5,643634103
2023-01;Autriche;Consommation brute;5,662081099
2023-02;Autriche;Consommation brute;5,121683997
2023-03;Autriche;Consommation brute;5,260895898
2023-04;Autriche;Consommation brute;4,698365501
2023-05;Autriche;Consommation brute;4,499450698
2023-06;Autriche;Consommation brute;4,201289098
2023-07;Autriche;Consommation brute;4,414706003
2023-08;Autriche;Consommation brute;4,477496901
2023-09;Autriche;Consommation brute;4,4202471
2023-10;Autriche;Consommation brute;4,750466697
2023-11;Autriche;Consommation brute;5,202719001
2023-12;Autriche;Consommation brute;5,506441703
2024-01;Autriche;Consommation brute;5,800134301
2024-02;Autriche;Consommation brute;5,037800602
2024-03;Autriche;Consommation brute;4,899441702
2024-04;Autriche;Consommation brute;4,523753702
2024-05;Autriche;Consommation brute;4,370053602
2024-06;Autriche;Consommation brute;4,4072633
2024-07;Autriche;Consommation brute;4,577806303
2024-08;Autriche;Consommation brute;4,520203398
2024-09;Autriche;Consommation brute;4,607523
2024-10;Autriche;Consommation brute;4,998680602
2024-11;Autriche;Consommation brute;5,379225601
2024-12;Autriche;Consommation brute;5,680119098
2025-01;Autriche;Consommation brute;5,888630501
2025-02;Autriche;Consommation brute;5,256780003
2025-03;Autriche;Consommation brute;5,195126398
2025-04;Autriche;Consommation brute;4,506724697
2025-05;Autriche;Consommation brute;4,4930186
2025-06;Autriche;Consommation brute;4,273162604
2025-07;Autriche;Consommation brute;4,4815645
2025-08;Autriche;Consommation brute;4,42099
2025-09;Autriche;Consommation brute;4,510815303
2025-10;Autriche;Consommation brute;5,0392931
2025-11;Autriche;Consommation brute;5,274812503
2016-01;Belgique;Consommation brute;7,944677141
2016-02;Belgique;Consommation brute;7,500673408
2016-03;Belgique;Consommation brute;7,73583523
2016-04;Belgique;Consommation brute;7,094418633
2016-05;Belgique;Consommation brute;6,883088786
2016-06;Belgique;Consommation brute;6,763555289
2016-07;Belgique;Consommation brute;6,574475113
2016-08;Belgique;Consommation brute;6,755752628
2016-09;Belgique;Consommation brute;6,826001892
2016-10;Belgique;Consommation brute;7,375907131
