Date;Filière;Valeur (TWh);Nature
2010-01;Production éolienne;0,688;Données Consolidées
2010-02;Production éolienne;0,98;Données Consolidées
2010-03;Production éolienne;1,175;Données Consolidées
2010-04;Production éolienne;0,731;Données Consolidées
2010-05;Production éolienne;0,743;Données Consolidées
2010-06;Production éolienne;0,581;Données Consolidées
2010-07;Production éolienne;0,488;Données Consolidées
2010-08;Production éolienne;0,684;Données Consolidées
2010-09;Production éolienne;0,569;Données Consolidées
2010-10;Production éolienne;1,075;Données Consolidées
2010-11;Production éolienne;1,01;Données Consolidées
2010-12;Production éolienne;1,003;Données Consolidées
2011-01;Production éolienne;1,268;Données Consolidées
2011-02;Production éolienne;0,9;Données Consolidées
2011-03;Production éolienne;1,135;Données Consolidées
2011-04;Production éolienne;0,688;Données Consolidées
2011-05;Production éolienne;0,749;Données Consolidées
2011-06;Production éolienne;0,886;Données Consolidées
2011-07;Production éolienne;0,839;Données Consolidées
2011-08;Production éolienne;0,687;Données Consolidées
2011-09;Production éolienne;0,855;Données Consolidées
2011-10;Production éolienne;1,07;Données Consolidées
2011-11;Production éolienne;0,945;Données Consolidées
2011-12;Production éolienne;2,053;Données Consolidées
2012-01;Production éolienne;1,587;Données Consolidées
2012-02;Production éolienne;1,123;Données Consolidées
2012-03;Production éolienne;0,977;Données Consolidées
2012-04;Production éolienne;1,572;Données Consolidées
2012-05;Production éolienne;0,974;Données Consolidées
2012-06;Production éolienne;0,994;Données Consolidées
2012-07;Production éolienne;0,912;Données Consolidées
2012-08;Production éolienne;0,907;Données Consolidées
2012-09;Production éolienne;0,931;Données Consolidées
2012-10;Production éolienne;1,355;Données Consolidées
2012-11;Production éolienne;1,309;Données Consolidées
2012-12;Production éolienne;2,29;Données Consolidées
2013-01;Production éolienne;1,326;Données Consolidées
2013-02;Production éolienne;1,463;Données Consolidées
2013-03;Production éolienne;1,352;Données Consolidées
2013-04;Production éolienne;1,49;Données Consolidées
2013-05;Production éolienne;1,155;Données Consolidées
2013-06;Production éolienne;1,16;Données Consolidées
2013-07;Production éolienne;0,877;Données Consolidées
2013-08;Production éolienne;0,739;Données Consolidées
2013-09;Production éolienne;0,948;Données Consolidées
2013-10;Production éolienne;1,612;Données Consolidées
2013-11;Production éolienne;1,809;Données Consolidées
2013-12;Production éolienne;2,011;Données Consolidées
2014-01;Production éolienne;2,181930765;Données Consolidées
2014-02;Production éolienne;2,472573395;Données Consolidées
2014-03;Production éolienne;1,282373217;Données Consolidées
2014-04;Production éolienne;1,048399965;Données Consolidées
2014-05;Production éolienne;1,519585523;Données Consolidées
2014-06;Production éolienne;0,955105605;Données Consolidées
2014-07;Production éolienne;0,94654156;Données Consolidées
2014-08;Production éolienne;0,975654709;Données Consolidées
2014-09;Production éolienne;0,723096472;Données Consolidées
2014-10;Production éolienne;1,269911121;Données Consolidées
2014-11;Production éolienne;1,492060319;Données Consolidées
2014-12;Production éolienne;2,106223207;Données Consolidées
2015-01;Production éolienne;2,299499355;Données Consolidées
2015-02;Production éolienne;1,910273513;Données Consolidées
2015-03;Production éolienne;2,005330166;Données Consolidées
2015-04;Production éolienne;1,452411474;Données Consolidées
2015-05;Production éolienne;1,580470869;Données Consolidées
2015-06;Production éolienne;1,254703138;Données Consolidées
2015-07;Production éolienne;1,399122421;Données Consolidées
