Date;FiliŠre;Valeur (TWh);Nature
2007-01;Production solaire;;Donn‚es Consolid‚es
2007-02;Production solaire;;Donn‚es Consolid‚es
2007-03;Production solaire;;Donn‚es Consolid‚es
2007-04;Production solaire;;Donn‚es Consolid‚es
2007-05;Production solaire;;Donn‚es Consolid‚es
2007-06;Production solaire;;Donn‚es Consolid‚es
2007-07;Production solaire;;Donn‚es Consolid‚es
2007-08;Production solaire;;Donn‚es Consolid‚es
2007-09;Production solaire;;Donn‚es Consolid‚es
2007-10;Production solaire;;Donn‚es Consolid‚es
2007-11;Production solaire;;Donn‚es Consolid‚es
2007-12;Production solaire;;Donn‚es Consolid‚es
2008-01;Production solaire;0,00128734;Donn‚es Consolid‚es
2008-02;Production solaire;0,00154282;Donn‚es Consolid‚es
2008-03;Production solaire;0,00173701;Donn‚es Consolid‚es
2008-04;Production solaire;0,00204809;Donn‚es Consolid‚es
2008-05;Production solaire;0,00203494;Donn‚es Consolid‚es
2008-06;Production solaire;0,00209387;Donn‚es Consolid‚es
2008-07;Production solaire;0,00297275;Donn‚es Consolid‚es
2008-08;Production solaire;0,00273997;Donn‚es Consolid‚es
2008-09;Production solaire;0,00292205;Donn‚es Consolid‚es
2008-10;Production solaire;0,00253324;Donn‚es Consolid‚es
2008-11;Production solaire;0,00202054;Donn‚es Consolid‚es
2008-12;Production solaire;0,00187128;Donn‚es Consolid‚es
2009-01;Production solaire;0,005;Donn‚es Consolid‚es
2009-02;Production solaire;0,007;Donn‚es Consolid‚es
2009-03;Production solaire;0,012;Donn‚es Consolid‚es
2009-04;Production solaire;0,012;Donn‚es Consolid‚es
2009-05;Production solaire;0,016;Donn‚es Consolid‚es
2009-06;Production solaire;0,018;Donn‚es Consolid‚es
2009-07;Production solaire;0,021;Donn‚es Consolid‚es
2009-08;Production solaire;0,021;Donn‚es Consolid‚es
2009-09;Production solaire;0,018;Donn‚es Consolid‚es
2009-10;Production solaire;0,015;Donn‚es Consolid‚es
2009-11;Production solaire;0,009;Donn‚es Consolid‚es
2009-12;Production solaire;0,007;Donn‚es Consolid‚es
2010-01;Production solaire;0,01;Donn‚es Consolid‚es
2010-02;Production solaire;0,016;Donn‚es Consolid‚es
2010-03;Production solaire;0,031;Donn‚es Consolid‚es
